pet_id,pet_name,animal,breed,birthyear,reserved,shelter,arrival_date,depart_date,image,adopt_id,createdAt,reservedAt
1,Karlotte,chien,autre,1985,true,lyon,25/11/2012,,http://dummyimage.com/108x100.png/5fa2dd/ffffff,16,2020/01/21,2019/09/21
2,Quentin,chat,berger,2007,true,lyon,04/03/2017,,http://dummyimage.com/109x100.png/dddddd/000000,16,2019/09/17,2021/01/06
3,Carry,chat,berger australien,2005,true,paris,10/02/2022,25/06/2019,http://dummyimage.com/248x100.png/dddddd/000000,16,2018/10/08,2019/02/09
4,Raychel,chat,siamois,2011,false,bordeaux,15/01/2006,,http://dummyimage.com/240x100.png/dddddd/000000,8,2021/12/24,2020/01/17
5,Merrily,chien,,1998,false,mérignac,14/12/2014,,,0,,
6,Shayne,lapin,berger,2009,true,nantes,08/06/2001,,http://dummyimage.com/198x100.png/ff4444/ffffff,12,2019/02/13,2021/04/24
7,Kayle,hamster,bichon,2002,false,nantes,17/02/2016,,http://dummyimage.com/209x100.png/cc0000/ffffff,11,2019/04/24,2020/02/15
8,Chico,chat,bichon,1992,false,orthez,08/03/2007,22/08/2022,http://dummyimage.com/247x100.png/ff4444/ffffff,13,2021/01/03,2019/02/17
9,Karyl,chat,autre,2007,true,orthez,12/12/2005,12/07/2019,http://dummyimage.com/126x100.png/ff4444/ffffff,8,2020/02/04,2022/09/18
10,Maurene,chat,,2005,true,nantes,13/03/2022,,,2,,
11,Sissie,hamster,européen,1995,true,mérignac,04/07/2012,23/04/2018,http://dummyimage.com/209x100.png/dddddd/000000,0,2022/03/02,2018/03/10
12,Garrik,chien,abyssin,2005,false,bordeaux,05/05/2022,,http://dummyimage.com/124x100.png/5fa2dd/ffffff,3,2020/04/09,2021/02/04
13,Erminie,autre,européen,2003,false,bordeaux,20/08/2011,,http://dummyimage.com/113x100.png/dddddd/000000,8,2021/11/12,2021/01/14
14,Nicola,chat,abyssin,1994,true,orthez,02/01/2008,05/09/2019,http://dummyimage.com/131x100.png/5fa2dd/ffffff,12,2019/03/08,2018/04/23
15,Talbot,lapin,berger,2001,false,toulouse,21/05/2005,22/09/2022,http://dummyimage.com/143x100.png/dddddd/000000,1,2019/04/10,2020/01/22
16,Mellie,chien,labrador,2012,false,pau,31/10/2005,28/08/2022,http://dummyimage.com/209x100.png/cc0000/ffffff,13,2019/12/25,2018/09/09
17,Waverley,oiseau,autre,1994,false,toulouse,01/05/2021,15/11/2019,http://dummyimage.com/239x100.png/dddddd/000000,10,2021/04/25,2021/12/06
18,Sidonia,chien,siamois,1992,true,orthez,22/05/2006,,http://dummyimage.com/148x100.png/cc0000/ffffff,2,2021/07/18,2018/08/19
19,Olimpia,chien,,1994,true,pau,02/06/2000,27/11/2022,,11,,
20,Evyn,hamster,bichon,2005,true,nantes,26/08/2012,,http://dummyimage.com/150x100.png/ff4444/ffffff,14,2022/05/31,2021/02/20
21,Galvan,lapin,berger,2005,false,lyon,10/10/2000,,http://dummyimage.com/245x100.png/ff4444/ffffff,17,2018/08/22,2022/03/16
22,Kirstin,chien,berger,2006,true,bordeaux,13/09/2001,,http://dummyimage.com/139x100.png/dddddd/000000,13,2022/06/12,2022/07/19
23,Clim,tortue,abyssin,1996,true,nantes,05/09/2002,,http://dummyimage.com/134x100.png/dddddd/000000,0,2020/06/04,2018/03/12
24,Minna,lapin,,2012,true,paris,08/08/2019,,,9,,
25,Stillmann,chien,sphynx,2005,false,nantes,07/11/2016,,http://dummyimage.com/131x100.png/5fa2dd/ffffff,3,2020/09/24,2021/08/28
26,Reeba,chat,sphynx,2003,true,orthez,28/11/2011,,http://dummyimage.com/119x100.png/ff4444/ffffff,13,2018/05/19,2021/04/04
27,Theodora,chat,autre,2008,false,mérignac,08/05/2021,05/04/2021,http://dummyimage.com/123x100.png/5fa2dd/ffffff,6,2021/11/11,2018/10/23
28,Wilt,chien,,2010,true,pau,26/08/2015,,,14,,
29,Nessa,oiseau,sphynx,1997,false,nantes,01/01/2008,,http://dummyimage.com/125x100.png/5fa2dd/ffffff,20,2022/10/05,2018/06/27
30,Nelie,chat,berger,2006,false,orthez,21/10/1998,,http://dummyimage.com/201x100.png/5fa2dd/ffffff,6,2018/03/17,2022/01/05
31,Boyce,chat,autre,1988,true,lyon,06/08/2014,23/08/2019,http://dummyimage.com/192x100.png/5fa2dd/ffffff,8,2022/07/09,2019/07/12
32,Wallace,chat,abyssin,2006,false,paris,01/07/2007,,http://dummyimage.com/206x100.png/dddddd/000000,11,2020/03/13,2020/08/09
33,Madelena,hamster,bichon,1986,false,mérignac,30/12/2006,,http://dummyimage.com/191x100.png/ff4444/ffffff,13,2021/11/03,2021/12/06
34,Elinore,chien,autre,1989,false,orthez,21/08/2017,,http://dummyimage.com/172x100.png/dddddd/000000,6,2018/06/08,2022/11/25
35,Amalie,chien,abyssin,2001,true,lyon,03/02/2021,03/06/2020,http://dummyimage.com/244x100.png/cc0000/ffffff,19,2019/09/14,2022/01/29
36,Monty,chien,européen,2010,false,orthez,21/08/2004,,http://dummyimage.com/155x100.png/dddddd/000000,0,2019/08/18,2020/07/04
37,Ottilie,lapin,américain,2004,true,pau,11/06/2017,,http://dummyimage.com/240x100.png/cc0000/ffffff,8,2022/03/29,2018/12/01
38,Linc,chien,,2008,false,nantes,25/04/2009,15/10/2018,,14,,
39,Kristoffer,hamster,américain,2010,false,toulouse,25/11/2022,,http://dummyimage.com/210x100.png/ff4444/ffffff,7,2022/12/25,2020/11/24
